MonthYear,Actor1CountryCode,Count
201002,SOM,4156
201003,SOM,2339
201004,SOM,2959
201005,SOM,3066
201006,SOM,1755
201007,SOM,2573
201008,SOM,4967
201009,SOM,5155
201010,SOM,4719
201011,SOM,6401
201012,SOM,4795
201101,SOM,5301
201102,SOM,6957
201103,SOM,6291
201104,SOM,5760
201105,SOM,4620
201106,SOM,7098
201107,SOM,10236
201108,SOM,11195
201109,SOM,6592
201110,SOM,9662
201111,SOM,7019
201112,SOM,5420
201201,SOM,7608
201202,SOM,6870
201203,SOM,6073
201204,SOM,3919
201205,SOM,5028
201206,SOM,5097
201207,SOM,3932
201208,SOM,3860
201209,SOM,5612
201210,SOM,5379
201211,SOM,4146
201212,SOM,4681
201301,SOM,6356
201302,SOM,4309
201303,SOM,4120
201304,SOM,2762
201305,SOM,3327
201306,SOM,4940
201307,SOM,7067
201308,SOM,6648
201309,SOM,13243
201310,SOM,11765
201311,SOM,7599
201312,SOM,5478
201401,SOM,4802
201402,SOM,5813
201403,SOM,5948
201404,SOM,6720
201405,SOM,6247
201406,SOM,7272
201407,SOM,6165
201408,SOM,7012
201409,SOM,10206
201410,SOM,7608
201411,SOM,6083
201412,SOM,6493
201501,SOM,5899
201502,SOM,7393
201503,SOM,8191
201504,SOM,12926
201505,SOM,8762
201506,SOM,7220
201507,SOM,9271
201508,SOM,7382
201509,SOM,6911
201510,SOM,6648
201511,SOM,8635
201512,SOM,9187
201601,SOM,12866
201602,SOM,11192
201603,SOM,7071
